Token	Language	Named Entity	Eng-NGram Prob	Spn-NGram Prob	HMM Prob	Total Prob
she	Eng	O	47.98	20.49	-0.8	47.18
rolled	Eng	O	42.88	19.04	-0.8	42.080000000000005
down	Eng	O	49.05	17.68	-0.8	48.25
her	Eng	O	46.52	29.04	-0.8	45.720000000000006
window	Eng	O	42.12	-4.38	-0.8	41.32
and	Eng	O	58.08	26.56	-0.8	57.28
shouted	Eng	O	41.69	19.63	-0.8	40.89
"	Punct	O	N/A	N/A	N/A	N/A
“	Punct	O	N/A	N/A	N/A	N/A
Hey	Eng	O	43.41	22.69	-0.8	42.61
"	Punct	O	N/A	N/A	N/A	N/A
Ernie	Spn	PERSON/O	13.89	16.78	-2.38	14.400000000000002
!	Punct	O	N/A	N/A	N/A	N/A
”	Punct	O	N/A	N/A	N/A	N/A
y	Spn	O	21.5	34.41	-1.01	33.4
definitivamente	Spn	O	34.93	70.2	-1.01	69.19
"	Punct	O	N/A	N/A	N/A	N/A
it	Eng	O	50.11	11.76	-2.38	47.73
was	Eng	O	51.72	16.52	-0.8	50.92
Ernest	Eng	PERSON/PERSON	23.21	12.22	-0.8	22.41
Borgnine	Eng	PERSON/PERSON	30.98	24.27	-0.8	30.18
.	Punct	O	N/A	N/A	N/A	N/A
Creo	Spn	O	24.17	43.42	-2.38	41.04
que	Spn	O	26.46	56.13	-1.01	55.120000000000005
esa	Spn	O	13.84	44.15	-1.01	43.14
vez	Spn	O	10.62	37.2	-1.01	36.190000000000005
"	Punct	O	N/A	N/A	N/A	N/A
de	Spn	O	26.21	47.06	-1.01	46.050000000000004
ese	Spn	O	27.34	45.79	-1.01	44.78
fight	Eng	O	50.95	14.7	-2.38	48.57
cuando	Spn	O	20.56	60.78	-2.38	58.4
mamá	Spn	O	3.07	40.23	-1.01	39.22
nos	Spn	O	23.42	47.28	-1.01	46.27
llevó	Spn	O	-1.15	39.93	-1.01	38.92
a	Spn	O	39.06	38.09	-1.01	37.080000000000005
Santa	Spn	LOCATION/LOCATION	23.36	42.43	-1.01	41.42
Mónica	Spn	LOCATION/LOCATION	10.08	27.17	-1.01	26.16
"	Punct	O	N/A	N/A	N/A	N/A
que	Spn	O	26.46	56.13	-1.01	55.120000000000005
hasta	Spn	O	26.75	52.89	-1.01	51.88
nos	Spn	O	23.42	47.28	-1.01	46.27
llevó	Spn	O	-1.15	39.93	-1.01	38.92
a	Eng	O	39.06	38.09	-2.38	36.68
Pacific	Eng	LOCATION/LOCATION	31.16	14.38	-0.8	30.36
Ocean	Eng	LOCATION/LOCATION	36.35	21.28	-0.8	35.550000000000004
Park	Eng	LOCATION/LOCATION	36.28	20.34	-0.8	35.480000000000004
"	Punct	O	N/A	N/A	N/A	N/A
pero	Spn	O	24.95	52.4	-2.38	50.019999999999996
that	Eng	O	68.72	14.42	-2.38	66.34
may	Eng	O	41.11	24.07	-0.8	40.31
have	Eng	O	60.11	28.54	-0.8	59.31
been	Eng	O	52.66	22.28	-0.8	51.86
another	Eng	O	66.77	27.82	-0.8	65.97
time	Eng	O	53.99	32.6	-0.8	53.190000000000005
.	Punct	O	N/A	N/A	N/A	N/A
Pero	Spn	O	24.95	52.4	-2.38	50.019999999999996
for	Eng	O	47.94	28.79	-2.38	45.559999999999995
sure	Eng	O	50.44	30.6	-0.8	49.64
I	Eng	O	42.31	11.38	-0.8	41.510000000000005
know	Eng	O	60.3	6.12	-0.8	59.5
que	Spn	O	26.46	56.13	-2.38	53.75
lo	Spn	O	19.44	42.92	-1.01	41.910000000000004
único	Spn	O	2.51	41.6	-1.01	40.59
que	Spn	O	26.46	56.13	-1.01	55.120000000000005
cenamos	Spn	O	16.97	50.59	-1.01	49.580000000000005
was	Eng	O	51.72	16.52	-2.38	49.339999999999996
hot	Eng	O	39.72	18.01	-0.8	38.92
dogs	Eng	O	39.93	15.44	-0.8	39.13
"	Punct	O	N/A	N/A	N/A	N/A
and	Eng	O	58.08	26.56	-0.8	57.28
we	Eng	O	46.45	7.69	-0.8	45.650000000000006
loved	Eng	O	46.96	19.42	-0.8	46.160000000000004
it	Eng	O/MISC	50.11	11.76	-0.8	49.31
.	Punct	O	N/A	N/A	N/A	N/A
Y	Spn	O	21.5	34.41	-2.38	32.029999999999994
claro	Spn	O	19.65	46.31	-1.01	45.300000000000004
"	Punct	O	N/A	N/A	N/A	N/A
luego	Spn	O	17.45	48.66	-1.01	47.65
"	Punct	O	N/A	N/A	N/A	N/A
mucha	Spn	O	28.06	50.61	-1.01	49.6
llamada	Spn	O	14.14	53.63	-1.01	52.620000000000005
telefónica	Spn	O	22.21	45.18	-1.01	44.17
y	Spn	O	21.5	34.41	-1.01	33.4
finally	Eng	O	60.6	24.57	-2.38	58.22
they	Eng	O	65.37	19.05	-0.8	64.57000000000001
made	Eng	O	44.26	35.03	-0.8	43.46
up	Eng	O	37.07	9.61	-0.8	36.27
como	Spn	O	21.69	52.03	-2.38	49.65
siempre	Spn	O	20.12	59.19	-1.01	58.18
y	Spn	O	21.5	34.41	-1.01	33.4
nos	Spn	O	23.42	47.28	-1.01	46.27
fuimos	Spn	O	14.66	47.45	-1.01	46.440000000000005
back	Eng	O	45.64	16.76	-2.38	43.26
home	Eng	O	50.87	37.23	-0.8	50.07
.	Punct	O	N/A	N/A	N/A	N/A
Uno	Spn	O	20.93	43.43	-2.38	41.05
de	Spn	O	26.21	47.06	-1.01	46.050000000000004
los	Spn	O	23.65	49.6	-1.01	48.59
peores	Spn	O	34.87	46.28	-1.01	45.27
momentos	Spn	O	26.99	62.81	-1.01	61.800000000000004
in	Eng	O	45.41	25.29	-2.38	43.029999999999994
all	Eng	O	47.74	25.64	-0.8	46.940000000000005
their	Eng	O	61.66	20.15	-0.8	60.86
long	Eng	O	47.87	18.74	-0.8	47.07
"	Punct	O	N/A	N/A	N/A	N/A
romantic	Eng	O	26.18	13.98	-0.8	25.38
"	Punct	O	N/A	N/A	N/A	N/A
starcrossed	Eng	O	47.82	4.73	-0.8	47.02
"	Punct	O	N/A	N/A	N/A	N/A
movie	Eng	O	47.89	28.34	-0.8	47.09
-	Punct	O	N/A	N/A	N/A	N/A
star	Eng	O	40.17	29.25	-0.8	39.370000000000005
marriage	Eng	O	46.61	21.58	-0.8	45.81
fue	Spn	O	23.38	42.14	-2.38	39.76
un	Spn	O	21.77	40.51	-1.01	39.5
verano	Spn	O	26.51	44.98	-1.01	43.97
cuando	Spn	O	20.56	60.78	-1.01	59.77
yo	Spn	O	24.54	38.85	-1.01	37.84
tenía	Spn	O	16.61	48.52	-1.01	47.510000000000005
como	Spn	O	21.69	52.03	-1.01	51.02
16	Num	O	N/A	N/A	N/A	N/A
o	Spn	O	22.76	28.33	-1.01	27.319999999999997
17	Num	O	N/A	N/A	N/A	N/A
años	Spn	O	10.27	45.21	-1.01	44.2
.	Punct	O	N/A	N/A	N/A	N/A
Recuerdo	Spn	O	21.67	57.44	-1.01	56.43
que	Spn	O	26.46	56.13	-1.01	55.120000000000005
yo	Spn	O	24.54	38.85	-1.01	37.84
y	Spn	O	21.5	34.41	-1.01	33.4
mis	Spn	O	27.57	40.33	-1.01	39.32
hermanas	Spn	O	33.84	57.27	-1.01	56.260000000000005
nos	Spn	O	23.42	47.28	-1.01	46.27
dimos	Spn	O	19.61	46.27	-1.01	45.260000000000005
cuenta	Spn	O	12.46	53.51	-1.01	52.5
de	Spn	O	26.21	47.06	-1.01	46.050000000000004
que	Spn	O	26.46	56.13	-1.01	55.120000000000005
era	Spn	O	20.63	43.25	-1.01	42.24
the	Eng	O	60.83	27.05	-2.38	58.449999999999996
middle	Eng	O	47.54	22.63	-0.8	46.74
of	Eng	O	45.37	12.91	-0.8	44.57
the	Eng	O	60.83	27.05	-0.8	60.03
afternoon	Eng	O	52.96	14.77	-0.8	52.160000000000004
y	Spn	O	21.5	34.41	-2.38	32.029999999999994
mamá	Spn	O	3.07	40.23	-1.01	39.22
no	Spn	O	39.04	44.89	-1.01	43.88
se	Spn	O	30.91	42.67	-1.01	41.660000000000004
había	Spn	O	14.7	50.09	-1.01	49.080000000000005
levantado	Spn	O	26.92	58.9	-1.01	57.89
.	Punct	O	N/A	N/A	N/A	N/A
Both	Eng	O	43.29	14.68	-2.38	40.91
my	Eng	O	41.2	20.91	-0.8	40.400000000000006
parents	Eng	O	56.12	30.91	-0.8	55.32
were	Eng	O	57.76	17.06	-0.8	56.96
early	Eng	O	43.7	12.41	-0.8	42.900000000000006
risers	Eng	O	34.03	12.86	-0.8	33.230000000000004
"	Punct	O	N/A	N/A	N/A	N/A
so	Eng	O	43.57	28.06	-0.8	42.77
this	Eng	O	59.86	22.07	-0.8	59.06
was	Eng	O	51.72	16.52	-0.8	50.92
pretty	Eng	O	57.15	26.28	-0.8	56.35
strange	Eng	O	52.23	17.88	-0.8	51.43
.	Punct	O	N/A	N/A	N/A	N/A
Papá	Spn	O	5.72	41.0	-2.38	38.62
estaba	Spn	O	18.38	58.63	-1.01	57.620000000000005
en	Spn	O	25.45	42.54	-1.01	41.53
un	Spn	O	21.77	40.51	-1.01	39.5
research	Eng	O	48.14	12.66	-2.38	45.76
trip	Eng	O	35.43	18.11	-0.8	34.63
"	Punct	O	N/A	N/A	N/A	N/A
en	Spn	O	25.45	42.54	-2.38	40.16
España	Spn	O/LOCATION	9.83	44.69	-1.01	43.68
.	Punct	O	N/A	N/A	N/A	N/A
Bajamos	Spn	O	14.86	49.35	-1.01	48.34
a	Spn	O	39.06	38.09	-1.01	37.080000000000005
su	Spn	O	14.41	35.66	-1.01	34.65
recámara	Spn	O	18.12	48.37	-1.01	47.36
"	Punct	O	N/A	N/A	N/A	N/A
y	Spn	O	21.5	34.41	-1.01	33.4
mamá	Spn	O	3.07	40.23	-1.01	39.22
se	Spn	O	30.91	42.67	-1.01	41.660000000000004
encontraba	Spn	O	19.25	64.84	-1.01	63.830000000000005
en	Spn	O	25.45	42.54	-1.01	41.53
negligee	Eng	O	23.26	16.66	-2.38	20.880000000000003
"	Punct	O	N/A	N/A	N/A	N/A
distractedly	Eng	O	46.73	25.15	-0.8	45.93
munching	Eng	O	43.15	25.78	-0.8	42.35
See	Eng	O	45.86	24.58	-0.8	45.06
’	Punct	O	N/A	N/A	N/A	N/A
s	Eng	O	40.13	19.22	-0.8	39.330000000000005
chocolates	Eng	O	48.12	45.76	-0.8	47.32
.	Punct	O	N/A	N/A	N/A	N/A
—	Punct	O	N/A	N/A	N/A	N/A
¿	Punct	O	N/A	N/A	N/A	N/A
Qué	Spn	O	-0.63	47.68	-2.38	45.3
te	Spn	O	25.61	41.33	-1.01	40.32
pasa	Spn	O	20.38	47.74	-1.01	46.730000000000004
"	Punct	O	N/A	N/A	N/A	N/A
mamá	Spn	O	3.07	40.23	-1.01	39.22
?	Punct	O	N/A	N/A	N/A	N/A
le	Spn	O	24.53	39.88	-1.01	38.870000000000005
pregunté	Spn	O	3.46	49.15	-1.01	48.14
.	Punct	O	N/A	N/A	N/A	N/A
Mom	Eng	O	34.1	16.88	-2.38	31.720000000000002
is	Eng	O	44.66	21.08	-0.8	43.86
a	Eng	O	39.06	38.09	-0.8	38.260000000000005
Scorpio	Eng	O/PERSON	19.65	15.59	-0.8	18.849999999999998
y	Spn	O	21.5	34.41	-2.38	32.029999999999994
"	Punct	O	N/A	N/A	N/A	N/A
TRUE	Eng	O	47.44	28.51	-2.38	45.059999999999995
to	Eng	O	48.13	29.93	-0.8	47.330000000000005
her	Eng	O	46.52	29.04	-0.8	45.720000000000006
sign	Eng	O	34.92	20.25	-0.8	34.120000000000005
"	Punct	O	N/A	N/A	N/A	N/A
es	Spn	O	21.58	44.75	-2.38	42.37
muy	Spn	O	19.87	42.75	-1.01	41.74
apasionada	Spn	O	24.05	47.71	-1.01	46.7
"	Punct	O	N/A	N/A	N/A	N/A
contundente	Spn	O	24.44	52.43	-1.01	51.42
y	Spn	O	21.5	34.41	-1.01	33.4
vengativa	Spn	O	9.86	43.42	-1.01	42.410000000000004
.	Punct	O	N/A	N/A	N/A	N/A
Pero	Spn	O	24.95	52.4	-1.01	51.39
eso	Spn	O	19.62	46.36	-1.01	45.35
no	Spn	O	39.04	44.89	-1.01	43.88
significa	Spn	O	36.77	53.85	-1.01	52.84
en	Spn	O	25.45	42.54	-1.01	41.53
absoluto	Spn	O	45.26	42.94	-1.01	41.93
que	Spn	O	26.46	56.13	-1.01	55.120000000000005
ella	Spn	O	17.16	48.39	-1.01	47.38
sea	Spn	O	29.61	40.09	-1.01	39.080000000000005
self	Eng	O	40.62	13.43	-2.38	38.239999999999995
-	Punct	O	N/A	N/A	N/A	N/A
revealing	Eng	O	46.23	16.03	-0.8	45.43
"	Punct	O	N/A	N/A	N/A	N/A
easy	Eng	O	36.56	17.63	-0.8	35.760000000000005
to	Eng	O	48.13	29.93	-0.8	47.330000000000005
read	Eng	O	47.87	22.02	-0.8	47.07
o	Spn	O	22.76	28.33	-2.38	25.95
como	Spn	O	21.69	52.03	-1.01	51.02
quien	Spn	O	27.74	57.03	-1.01	56.02
dice	Spn	O	31.36	46.48	-1.01	45.47
"	Punct	O	N/A	N/A	N/A	N/A
emotionally	Eng	O	60.27	15.85	-2.38	57.89
available	Eng	O	53.35	28.81	-0.8	52.550000000000004
.	Punct	O	N/A	N/A	N/A	N/A
Al	Spn	PERSON/O	23.37	36.72	-2.38	34.339999999999996
contrario	Spn	O	32.31	63.93	-1.01	62.92
:	Punct	O	N/A	N/A	N/A	N/A
guarded	Eng	O	36.93	26.83	-2.38	34.55
"	Punct	O	N/A	N/A	N/A	N/A
secretive	Eng	O	46.98	36.92	-0.8	46.18
.	Punct	O	N/A	N/A	N/A	N/A
—	Punct	O	N/A	N/A	N/A	N/A
Oh	Eng	O	42.22	16.44	-0.8	41.42
nothing	Eng	O	67.58	19.75	-0.8	66.78
"	Punct	O	N/A	N/A	N/A	N/A
nos	Spn	O	23.42	47.28	-2.38	44.9
dijo	Spn	O	13.0	45.96	-1.01	44.95
.	Punct	O	N/A	N/A	N/A	N/A
Siguió	Spn	O	2.28	37.0	-1.01	35.99
así	Spn	O	3.01	38.29	-1.01	37.28
un	Spn	O	21.77	40.51	-1.01	39.5
tiempo	Spn	O	16.11	54.05	-1.01	53.04
"	Punct	O	N/A	N/A	N/A	N/A
como	Spn	O	21.69	52.03	-1.01	51.02
staring	Eng	O/MISC	52.19	9.86	-2.38	49.809999999999995
out	Eng	O/MISC	48.81	12.75	-0.8	48.010000000000005
the	Eng	O/MISC	60.83	27.05	-0.8	60.03
window	Eng	O/MISC	42.12	-4.38	-0.8	41.32
"	Punct	O	N/A	N/A	N/A	N/A
out	Eng	O	48.81	12.75	-0.8	48.010000000000005
through	Eng	O	66.36	6.77	-0.8	65.56
the	Eng	O	60.83	27.05	-0.8	60.03
northern	Eng	O	45.23	15.76	-0.8	44.43
Califas	Spn	O/LOCATION	24.72	33.29	-2.38	30.91
pine	Eng	O	35.15	28.73	-2.38	32.769999999999996
trees	Eng	O	47.58	35.94	-0.8	46.78
"	Punct	O	N/A	N/A	N/A	N/A
down	Eng	O/MISC	49.05	17.68	-0.8	48.25
over	Eng	O/MISC	48.52	24.85	-0.8	47.720000000000006
the	Eng	O/MISC	60.83	27.05	-0.8	60.03
small	Eng	O/MISC	48.51	9.36	-0.8	47.71
"	Punct	O	N/A	N/A	N/A	N/A
bucolic	Eng	O	23.52	5.43	-0.8	22.72
"	Punct	O	N/A	N/A	N/A	N/A
hippie	Eng	O	27.53	25.66	-0.8	26.73
-	Punct	O	N/A	N/A	N/A	N/A
surf	Eng	O	26.39	13.69	-0.8	25.59
town	Eng	O	46.04	16.22	-0.8	45.24
al	Spn	O	23.37	36.72	-2.38	34.339999999999996
que	Spn	O	26.46	56.13	-1.01	55.120000000000005
Daddy	Eng	O/PERSON	33.59	18.36	-2.38	31.210000000000004
had	Eng	O	48.39	23.13	-0.8	47.59
moved	Eng	O	49.43	24.82	-0.8	48.63
us	Eng	O	36.11	21.64	-0.8	35.31
so	Eng	O	43.57	28.06	-0.8	42.77
we	Eng	O	46.45	7.69	-0.8	45.650000000000006
wouldn	Eng	O	61.72	-0.63	-0.8	60.92
’	Punct	O	N/A	N/A	N/A	N/A
t	Eng	O	40.21	10.87	-0.8	39.410000000000004
turn	Eng	O	39.35	19.52	-0.8	38.550000000000004
into	Eng	O	51.19	37.94	-0.8	50.39
Valley	Eng	ORGANIZATION/PERSON	33.38	25.67	-0.8	32.580000000000005
Girls	Eng	ORGANIZATION/PERSON	38.47	9.64	-0.8	37.67
and	Eng	O	58.08	26.56	-0.8	57.28
so	Eng	O	43.57	28.06	-0.8	42.77
his	Eng	O	44.36	27.21	-0.8	43.56
glaucomic	Eng	O	18.06	-0.4	-0.8	17.259999999999998
eyes	Eng	O	33.75	26.52	-0.8	32.95
no	Spn	O	39.04	44.89	-2.38	42.51
tuvieran	Spn	O	19.07	52.86	-1.01	51.85
que	Spn	O	26.46	56.13	-1.01	55.120000000000005
soportar	Spn	O	27.29	47.9	-1.01	46.89
el	Spn	O	19.84	42.02	-1.01	41.010000000000005
daily	Eng	O	36.31	16.35	-2.38	33.93
commute	Eng	O	45.9	28.19	-0.8	45.1
through	Eng	O	66.36	6.77	-0.8	65.56
the	Eng	O	60.83	27.05	-0.8	60.03
smoggy	Eng	O	22.69	5.7	-0.8	21.89
Los	Spn	LOCATION/LOCATION	23.65	49.6	-2.38	47.22
Angeles	Spn	LOCATION/LOCATION	40.3	43.33	-1.01	42.32
basin	Eng	O	36.04	25.63	-2.38	33.66
.	Punct	O	N/A	N/A	N/A	N/A
Mamá	Spn	O/PERSON	3.07	40.23	-2.38	37.849999999999994
miraba	Spn	O	15.2	43.92	-1.01	42.910000000000004
"	Punct	O	N/A	N/A	N/A	N/A
entre	Spn	O	29.82	49.86	-1.01	48.85
aturdida	Spn	O	17.7	32.83	-1.01	31.819999999999997
y	Spn	O	21.5	34.41	-1.01	33.4
ensoñada	Spn	O	10.63	33.64	-1.01	32.63
"	Punct	O	N/A	N/A	N/A	N/A
toward	Eng	O	50.34	15.44	-2.38	47.96
the	Eng	O	60.83	27.05	-0.8	60.03
Pacific	Eng	LOCATION/PERSON	31.16	14.38	-0.8	30.36
Ocean	Eng	LOCATION/PERSON	36.35	21.28	-0.8	35.550000000000004
"	Punct	O	N/A	N/A	N/A	N/A
her	Eng	O	46.52	29.04	-0.8	45.720000000000006
beautiful	Eng	O	51.42	11.64	-0.8	50.620000000000005
tilted	Eng	O	36.88	23.63	-0.8	36.080000000000005
black	Eng	O	40.54	13.24	-0.8	39.74
eyes	Eng	O	33.75	26.52	-0.8	32.95
clouded	Eng	O	35.29	14.32	-0.8	34.49
de	Spn	O	26.21	47.06	-2.38	44.68
angustia	Spn	O	19.75	34.53	-1.01	33.52
.	Punct	O	N/A	N/A	N/A	N/A
Pero	Spn	O	24.95	52.4	-1.01	51.39
no	Spn	O	39.04	44.89	-1.01	43.88
decía	Spn	O	14.15	47.53	-1.01	46.52
nada	Spn	O	19.49	48.44	-1.01	47.43
.	Punct	O	N/A	N/A	N/A	N/A
Yo	Spn	O	24.54	38.85	-1.01	37.84
sentía	Spn	O	18.53	43.09	-1.01	42.080000000000005
ominous	Eng	O	22.28	12.0	-2.38	19.900000000000002
waves	Eng	O	36.45	18.39	-0.8	35.650000000000006
de	Spn	O	26.21	47.06	-2.38	44.68
malestar	Spn	O	29.22	49.3	-1.01	48.29
.	Punct	O	N/A	N/A	N/A	N/A
Y	Spn	O	21.5	34.41	-1.01	33.4
persistí	Spn	O	9.0	24.38	-1.01	23.369999999999997
.	Punct	O	N/A	N/A	N/A	N/A
—	Punct	O	N/A	N/A	N/A	N/A
Mom	Eng	O	34.1	16.88	-2.38	31.720000000000002
"	Punct	O	N/A	N/A	N/A	N/A
si	Spn	O	14.77	35.22	-2.38	32.839999999999996
no	Spn	O	39.04	44.89	-1.01	43.88
me	Spn	O	41.15	43.0	-1.01	41.99
dices	Spn	O	33.69	51.53	-1.01	50.52
qué	Spn	O	-0.63	47.68	-1.01	46.67
tienes	Spn	O	31.78	61.15	-1.01	60.14
voy	Spn	O	16.9	40.7	-1.01	39.690000000000005
a	Spn	O	39.06	38.09	-1.01	37.080000000000005
pensar	Spn	O	25.55	49.33	-1.01	48.32
que	Spn	O	26.46	56.13	-1.01	55.120000000000005
es	Spn	O	21.58	44.75	-1.01	43.74
algo	Spn	O	21.75	46.81	-1.01	45.800000000000004
terrible	Eng	O	60.05	53.35	-2.38	57.669999999999995
.	Punct	O	N/A	N/A	N/A	N/A
Like	Eng	O	57.49	21.32	-0.8	56.690000000000005
you	Eng	O	56.67	25.36	-0.8	55.870000000000005
have	Eng	O	60.11	28.54	-0.8	59.31
cancer	Eng	O	39.8	38.17	-0.8	39.0
or	Eng	O	41.56	23.53	-0.8	40.760000000000005
something	Eng	O	87.24	18.85	-0.8	86.44
"	Punct	O	N/A	N/A	N/A	N/A
le	Spn	O	24.53	39.88	-2.38	37.5
dije	Spn	O	12.99	42.67	-1.01	41.660000000000004
.	Punct	O	N/A	N/A	N/A	N/A
And	Eng	O	58.08	26.56	-2.38	55.699999999999996
I	Eng	O	42.31	11.38	-0.8	41.510000000000005
’	Punct	O	N/A	N/A	N/A	N/A
m	Eng	O	33.66	10.74	-0.8	32.86
gonna	Eng	O	42.51	19.51	-0.8	41.71
call	Eng	O	47.66	29.05	-0.8	46.86
Dad	Eng	O/PERSON	35.2	30.34	-0.8	34.400000000000006
.	Punct	O	N/A	N/A	N/A	N/A
At	Eng	O	43.35	13.78	-0.8	42.550000000000004
the	Eng	O	60.83	27.05	-0.8	60.03
mention	Eng	O	53.75	34.48	-0.8	52.95
of	Eng	O	45.37	12.91	-0.8	44.57
his	Eng	O	44.36	27.21	-0.8	43.56
name	Eng	O	42.82	33.95	-0.8	42.02
"	Punct	O	N/A	N/A	N/A	N/A
irrumpió	Spn	O	-6.22	18.57	-2.38	16.19
en	Spn	O	25.45	42.54	-1.01	41.53
llanto	Spn	O	25.31	46.55	-1.01	45.54
y	Spn	O	21.5	34.41	-1.01	33.4
anunció	Spn	O	-1.26	34.1	-1.01	33.09
"	Punct	O	N/A	N/A	N/A	N/A
finalmente	Spn	O	27.88	61.85	-1.01	60.84
"	Punct	O	N/A	N/A	N/A	N/A
en	Spn	O	25.45	42.54	-1.01	41.53
tono	Spn	O	26.46	36.27	-1.01	35.260000000000005
altamente	Spn	O	24.8	59.5	-1.01	58.49
melodramático	Spn	O	14.52	44.93	-1.01	43.92
(	Punct	O	N/A	N/A	N/A	N/A
typical	Eng	O	49.77	14.34	-2.38	47.39
of	Eng	O	45.37	12.91	-0.8	44.57
Mom	Eng	O	34.1	16.88	-0.8	33.300000000000004
"	Punct	O	N/A	N/A	N/A	N/A
pero	Spn	O	24.95	52.4	-2.38	50.019999999999996
lo	Spn	O	19.44	42.92	-1.01	41.910000000000004
compramos	Spn	O	26.44	65.63	-1.01	64.61999999999999
every	Eng	O	55.22	18.06	-2.38	52.839999999999996
time	Eng	O	53.99	32.6	-0.8	53.190000000000005
)	Punct	O	N/A	N/A	N/A	N/A
:	Punct	O	N/A	N/A	N/A	N/A
—	Punct	O	N/A	N/A	N/A	N/A
Girls	Eng	O/PERSON	38.47	9.64	-0.8	37.67
"	Punct	O	N/A	N/A	N/A	N/A
I	Eng	O	42.31	11.38	-0.8	41.510000000000005
’	Punct	O	N/A	N/A	N/A	N/A
m	Eng	O	33.66	10.74	-0.8	32.86
sureDaddy	Eng	O	35.64	12.75	-0.8	34.84
is	Eng	O	44.66	21.08	-0.8	43.86
having	Eng	O	63.93	14.44	-0.8	63.13
an	Eng	O	41.88	24.48	-0.8	41.080000000000005
affair	Eng	O	35.68	14.4	-0.8	34.88
.	Punct	O	N/A	N/A	N/A	N/A
Con	Spn	O	33.09	47.17	-2.38	44.79
eso	Spn	O	19.62	46.36	-1.01	45.35
"	Punct	O	N/A	N/A	N/A	N/A
se	Spn	O	30.91	42.67	-1.01	41.660000000000004
lanzó	Spn	O	2.98	29.67	-1.01	28.66
a	Spn	O	39.06	38.09	-1.01	37.080000000000005
un	Spn	O	21.77	40.51	-1.01	39.5
torrente	Spn	O	31.17	47.49	-1.01	46.480000000000004
de	Spn	O	26.21	47.06	-1.01	46.050000000000004
palabras	Spn	O	19.19	56.6	-1.01	55.59
:	Punct	O	N/A	N/A	N/A	N/A
I	Eng	O	42.31	11.38	-2.38	39.93
’	Punct	O	N/A	N/A	N/A	N/A
m	Eng	O	33.66	10.74	-0.8	32.86
going	Eng	O	62.31	13.65	-0.8	61.510000000000005
to	Eng	O	48.13	29.93	-0.8	47.330000000000005
lose	Eng	O	44.08	34.33	-0.8	43.28
20	Num	O	N/A	N/A	N/A	N/A
pounds	Eng	O	46.44	16.9	-0.8	45.64
rinse	Eng	O	31.79	24.24	-0.8	30.99
my	Eng	O	41.2	20.91	-0.8	40.400000000000006
hair	Eng	O	37.97	21.93	-0.8	37.17
back	Eng	O	45.64	16.76	-0.8	44.84
to	Eng	O	48.13	29.93	-0.8	47.330000000000005
black	Eng	O	40.54	13.24	-0.8	39.74
voy	Spn	O	16.9	40.7	-2.38	38.32
a	Spn	O	39.06	38.09	-1.01	37.080000000000005
mudarme	Spn	O	18.67	44.65	-1.01	43.64
a	Spn	O	39.06	38.09	-1.01	37.080000000000005
San	Spn	LOCATION/LOCATION	29.29	31.92	-1.01	30.91
Diego	Spn	LOCATION/LOCATION	26.86	36.44	-1.01	35.43
con	Spn	O	33.09	47.17	-1.01	46.160000000000004
mis	Spn	O	27.57	40.33	-1.01	39.32
padres	Spn	O	26.56	55.01	-1.01	54.0
start	Eng	O	52.05	10.78	-2.38	49.669999999999995
teaching	Eng	O	66.42	19.31	-0.8	65.62
again	Eng	O	50.85	25.65	-0.8	50.050000000000004
lo	Spn	O	19.44	42.92	-2.38	40.54
voy	Spn	O	16.9	40.7	-1.01	39.690000000000005
a	Spn	O	39.06	38.09	-1.01	37.080000000000005
dejar	Spn	O	18.37	48.83	-1.01	47.82
"	Punct	O	N/A	N/A	N/A	N/A
sí	Spn	O	-2.55	35.52	-1.01	34.510000000000005
"	Punct	O	N/A	N/A	N/A	N/A
it	Eng	O/MISC	50.11	11.76	-2.38	47.73
’	Punct	O	N/A	N/A	N/A	N/A
s	Eng	O/MISC	40.13	19.22	-0.8	39.330000000000005
over	Eng	O/MISC	48.52	24.85	-0.8	47.720000000000006
"	Punct	O	N/A	N/A	N/A	N/A
this	Eng	O	59.86	22.07	-0.8	59.06
is	Eng	O	44.66	21.08	-0.8	43.86
it	Eng	O/MISC	50.11	11.76	-0.8	49.31
.	Punct	O	N/A	N/A	N/A	N/A
Pero	Spn	O	24.95	52.4	-2.38	50.019999999999996
mamá	Spn	O	3.07	40.23	-1.01	39.22
"	Punct	O	N/A	N/A	N/A	N/A
we	Eng	O	46.45	7.69	-2.38	44.07
reasoned	Eng	O	54.13	15.57	-0.8	53.330000000000005
"	Punct	O	N/A	N/A	N/A	N/A
how	Eng	O	45.28	13.44	-0.8	44.480000000000004
do	Eng	O	42.25	32.38	-0.8	41.45
you	Eng	O	56.67	25.36	-0.8	55.870000000000005
know	Eng	O	60.3	6.12	-0.8	59.5
?	Punct	O	N/A	N/A	N/A	N/A
En	Spn	O	25.45	42.54	-2.38	40.16
sus	Spn	O	28.54	40.34	-1.01	39.330000000000005
slender	Eng	O	34.96	24.63	-2.38	32.58
"	Punct	O	N/A	N/A	N/A	N/A
hermosos	Spn	O	19.09	51.87	-2.38	49.489999999999995
dedos	Spn	O	20.92	44.8	-1.01	43.79
she	Eng	O	47.98	20.49	-2.38	45.599999999999994
held	Eng	O	38.91	17.18	-0.8	38.11
out	Eng	O	48.81	12.75	-0.8	48.010000000000005
